招生年份 招生批次 招生院校 专业组 科目要求 专业 计划数 录取数 最高分 最高分位次 最低分 最低分位次 平均分 平均分位次 省市
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 17-光电信息科学与工程 21 21 523 17799 503 23377 507 22221 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 18-电子科学与技术 20 20 518 19117 503 23377 506 22512 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 19-集成电路设计与集成系统 35 35 521 18317 502 23673 504 23089 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 20-能源服务工程 31 31 522 18065 501 23963 505 22797 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 21-信息与计算科学 25 26 509 21654 500 24251 502 23673 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 22-应用物理学 20 20 509 21654 500 24251 502 23673
2024 本科普通批 上海电力大学 11701-上海电力 物理和化学 01-电气工程及其自动化 133 137 557 6458 527 12860 533 11462 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 02-能源与动力工程 11 11 526 13085 522 14026 524 13538 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 03-机械设计制造及其自动化 28 28 522 14026 502 19008 506 18067 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 04-新能源科学与工程 19 19 522 14026 502 19008 510 17049 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 05-储能科学与工程 16 16 518 15023 503 18767 511 16761 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 06-能源互联网工程 10 15 522 14026 519 14753 521 14281 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 07-电气工程及其自动化(中外合作办学) 21 21 527 12860 522 14026 524 13538 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 08-自动化 61 64 523 13763 509 17313 515 15734 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 09-测控技术与仪器 26 26 505 18290 496 20446 500 19486 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 10-智能科学与技术 17 19 505 18290 495 20693 498 19960 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 11-计算机科学与技术 37 39 524 13538 503 18767 507 17795 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 12-软件工程 32 32 508 17567 500 19486 502 19008 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 13-信息安全 24 24 503 18767 496 20446 498 19960 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 14-数据科学与大数据技术 23 23 508 17567 498 19960 501 19243 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 15-通信工程 23 23 503 18767 498 19960 500 19486 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 16-电子信息工程 22 22 519 14753 502 19008 506 18067 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 17-光电信息科学与工程 18 18 505 18290 495 20693 498 19960 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 18-电子科学与技术 20 20 509 17313 494 20956 498 19960 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 19-集成电路设计与集成系统 35 38 508 17567 495 20693 499 19729 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 20-能源服务工程 26 26 516 15485 496 20446 502 19008 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 21-信息与计算科学 25 25 508 17567 494 20956 497 20203 上海
2024 本科普通批 上海电力大学 11702-上海电力 物理和化学 22-应用物理学 20 20 504 18539 494 20956 496 20446 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 08-工科试验班(智能化制造类) 269 298 550 10506 534 14696 537 13876 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 09-工科试验班(电子与信息类) 335 350 550 10506 537 13876 541 12796 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 10-理科试验班 70 70 552 10002 535 14414 540 13049 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 11-能源与动力工程 100 100 552 10002 539 13322 543 12291 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 12-机械设计制造及其自动化 100 100 550 10506 540 13049 544 12020 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 13-机器人工程 30 30 550 10506 546 11525 547 11283 上海
2025 本科普通批 上海理工大学 11003-上海理工 物理和化学 14-生物医学工程 50 50 550 10506 540 13049 545 11777 上海
2025 本科普通批 上海理工大学 11006-上海理工 物理和化学 18-光电信息科学与工程(中外合作办学) 27 27 549 10761 537 13876 541 12796 上海
2025 本科普通批 上海理工大学 11006-上海理工 物理和化学 19-机械设计制造及其自动化(中外合作办学) 15 15 541 12796 533 14978 535 14414 上海
2025 本科普通批 上海理工大学 11006-上海理工 物理和化学 20-电子信息科学与技术(中外合作办学) 20 20 544 12020 535 14414 538 13615 上海
2025 本科普通批 上海理工大学 11006-上海理工 物理和化学 21-机械设计制造及其自动化(中外合作办学) 30 30 546 11525 534 14696 538 13615 上海
2025 本科普通批 上海理工大学 11006-上海理工 物理和化学 22-电气工程及其自动化(中外合作办学) 30 30 544 12020 533 14978 534 14696 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 11-工科试验班 340 367 541 9624 525 13276 529 12388 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 12-工科试验班 149 162 540 9848 534 11234 537 10538 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 13-理科试验班 25 25 550 7798 533 11462 536 10760 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 14-光电信息科学与工程(中外合作办学) 15 15 539 10069 533 11462 535 10985 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 15-机械设计制造及其自动化(中外合作办学) 21 21 534 11234 525 13276 529 12388 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 16-机械设计制造及其自动化(中外合作办学) 14 14 537 10538 527 12860 531 11919 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 17-电子信息科学与技术(中外合作办学) 19 19 535 10985 531 11919 532 11678 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 18-机械设计制造及其自动化(中外合作办学) 5 5 536 10760 534 11234 535 10985 上海
2024 本科普通批 上海理工大学 11003-上海理工 物理和化学 19-电气工程及其自动化(中外合作办学) 23 23 535 10985 529 12388 531 11919 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 16-计算机科学与技术 70 70 545 11777 525 17222 530 15808 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 17-网络工程 24 24 533 14978 519 18844 522 18065 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 18-人工智能 55 55 546 11525 520 18580 524 17497 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 19-电子信息工程 71 71 539 13322 522 18065 526 16940 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 20-通信工程 52 52 528 16393 517 19421 520 18580 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 21-管理科学 33 33 519 18844 516 19710 517 19421 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 22-大数据管理与应用 30 30 522 18065 517 19421 519 18844 上海
2025 本科普通批 上海海事大学 10903-上海海事 物理和化学 23-数学类 66 66 524 17497 515 19985 517 19421 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 24-机械设计制造及其自动化 91 91 532 15236 512 20807 516 19710 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 25-机械电子工程 63 63 531 15514 511 21070 515 19985 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 26-电气工程及其自动化 91 91 534 14696 516 19710 523 17799 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 27-测控技术与仪器 11 11 517 19421 511 21070 513 20546 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 28-自动化 45 45 531 15514 514 20273 517 19421 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 29-物流工程 23 23 520 18580 510 21367 512 20807 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 30-工业工程 7 7 528 16393 511 21070 516 19710 上海
2025 本科普通批 上海海事大学 10904-上海海事 物理和化学 31-工业设计 19 19 521 18317 510 21367 512 20807 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 15-计算机科学与技术 37 38 530 12143 517 15249 520 14532 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 16-网络工程 17 17 524 13538 513 16250 516 15485 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 17-人工智能 23 23 521 14281 515 15734 517 15249 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 18-计算机科学与技术 10 10 530 12143 522 14026 524 13538 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 19-电子信息工程 39 39 531 11919 515 15734 518 15023 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 20-通信工程 35 35 520 14532 512 16483 514 15979 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 21-管理科学 22 22 515 15734 510 17049 511 16761 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 22-大数据管理与应用 24 24 521 14281 512 16483 514 15979 上海
2024 本科普通批 上海海事大学 10903-上海海事 物理和化学 23-数学类 44 44 519 14753 510 17049 512 16483 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 24-机械设计制造及其自动化 40 42 523 13763 508 17567 511 16761 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 25-机械电子工程 16 18 517 15249 507 17795 508 17567 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 26-电气工程及其自动化 31 34 525 13276 513 16250 517 15249 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 27-测控技术与仪器 8 8 508 17567 506 18067 507 17795 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 28-自动化 19 19 523 13763 509 17313 512 16483 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 29-物流工程 11 11 512 16483 507 17795 509 17313 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 30-工业工程 5 5 508 17567 506 18067 507 17795 上海
2024 本科普通批 上海海事大学 10904-上海海事 物理和化学 31-工业设计 14 14 526 13085 506 18067 508 17567 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 32-交通运输 89 89 529 16109 502 23673 509 21654 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 33-交通工程 30 30 529 16109 499 24524 501 23963 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 34-能源与动力工程 32 32 527 16655 501 23963 506 22512 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 35-港口航道与海岸工程 49 49 511 21070 493 26212 496 25365 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 36-船舶与海洋工程 68 68 523 17799 494 25917 502 23673 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 37-安全工程 16 16 507 22221 493 26212 496 25365 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 38-环境工程 17 17 512 20807 493 26212 495 25620 上海
2025 本科普通批 上海海事大学 10905-上海海事 物理和化学 39-材料科学与工程 18 18 524 17497 497 25079 504 23089 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 32-交通运输 59 60 523 13763 503 18767 510 17049 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 33-交通工程 22 22 513 16250 499 19729 502 19008 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 34-能源与动力工程 28 28 518 15023 500 19486 504 18539 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 35-港口航道与海岸工程 45 45 521 14281 493 21226 497 20203 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 36-船舶与海洋工程 41 41 521 14281 494 20956 501 19243 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 37-安全工程 8 8 498 19960 493 21226 496 20446 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 38-环境工程 8 8 500 19486 493 21226 496 20446 上海
2024 本科普通批 上海海事大学 10905-上海海事 物理和化学 39-材料科学与工程 16 16 523 13763 495 20693 501 19243 上海
2025 本科普通批 上海中医药大学 12105-上海中医 物理和化学 13-智能医学工程(医工创新班) 8 8 548 11041 543 12291 545 11777 上海
2025 本科普通批 上海中医药大学 12105-上海中医 物理和化学 14-智能医学工程 10 10 542 12532 536 14128 539 13322 上海
2025 本科普通批 上海中医药大学 12105-上海中医 物理和化学 15-生物医学工程(中医信息与工程方向) 18 18 542 12532 535 14414 538 13615 上海
2024 本科普通批 上海中医药大学 12104-上海中医 物理和化学 11-生物医学工程 13 13 538 10306 528 12627 532 11678 上海
2024 本科普通批 上海中医药大学 12104-上海中医 物理和化学 12-智能医学工程 9 10 535 10985 524 13538 527 12860 上海
2025 本科普通批 上海理工大学 11001-上海理工 物理和化学 01-电子信息工程 20 20 555 9302 550 10506 551 10254 上海
2025 本科普通批 上海理工大学 11001-上海理工 物理和化学 02-光电信息科学与工程 35 35 556 9039 551 10254 552 10002 上海
2025 本科普通批 上海理工大学 11001-上海理工 物理和化学 03-计算机科学与技术 20 20 556 9039 550 10506 552 10002 上海
2025 本科普通批 上海理工大学 11001-上海理工 物理和化学 04-数据科学与大数据技术 15 15 551 10254 549 10761 550 10506 上海
2025 本科普通批 上海理工大学 11001-上海理工 物理和化学 05-人工智能 25 25 553 9779 549 10761 550 10506 上海
2025 本科普通批 上海海关学院 13603-海关学院 物理和化学 07-数据科学与大数据技术 8 8 526 16940 520 18580 524 17497 上海
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 08-机械电子工程 2 2 539 13322 533 14978 536 14128 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 09-车辆工程 2 2 541 12796 534 14696 538 13615 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 10-智能制造工程 2 2 533 14978 533 14978 533 14978 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 11-新能源汽车工程 2 2 547 11283 533 14978 540 13049 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 12-电子信息工程 2 2 547 11283 542 12532 545 11777 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 13-自动化 3 3 550 10506 533 14978 539 13322 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 14-计算机科学与技术 2 2 548 11041 534 14696 541 12796 江苏
2025 本科普通批 江苏大学 43702-江苏大学 物理和化学 15-软件工程 2 2 534 14696 534 14696 534 14696 江苏
2024 本科普通批 江苏大学 43701-江苏大学 物理和化学 04-新能源汽车工程 2 2 527 12860 527 12860 527 12860 江苏
2024 本科普通批 江苏大学 43701-江苏大学 物理和化学 05-电子信息工程 2 2 533 11462 533 11462 533 11462 江苏
2024 本科普通批 江苏大学 43701-江苏大学 物理和化学 06-自动化 3 3 532 11678 530 12143 531 11919 江苏
2024 本科普通批 江苏大学 43701-江苏大学 物理和化学 07-计算机科学与技术 2 2 540 9848 536 10760 538 10306 江苏
2024 本科普通批 江苏大学 43701-江苏大学 物理和化学 08-软件工程 2 2 533 11462 532 11678 533 11462 江苏
2025 本科普通批 上海大学 11901-上海大学 物理和化学 01-理科试验班(钱伟长学院) 15 15 579 4285 575 5016 577 4649 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 02-电子信息类(未来技术学院) 15 15 ≥580 ≤4096 576 4823 578 4467 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 03-数学与应用数学 45 45 574 5214 565 7040 567 6602 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 04-智能制造工程 45 45 574 5214 565 7040 567 6602 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 05-电子信息工程 35 35 576 4823 570 6004 573 5410 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 06-通信工程 55 55 578 4467 566 6814 568 6379 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 07-微电子科学与工程 40 40 ≥580 ≤4096 568 6379 571 5815 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 08-人工智能 30 30 575 5016 567 6602 570 6004 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 09-计算机科学与技术 90 90 579 4285 568 6379 571 5815 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 10-智能科学与技术 35 35 570 6004 565 7040 566 6814 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 11-数据科学与大数据技术 35 35 572 5610 565 7040 566 6814 上海
2025 本科普通批 上海大学 11901-上海大学 物理和化学 12-网络空间安全 15 15 570 6004 565 7040 567 6602 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 13-理科试验班类 67 67 568 6379 558 8579 561 7891 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 14-电气类(理学工学Ⅰ类) 269 269 568 6379 556 9039 558 8579 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 15-材料类(理学工学Ⅱ类) 140 141 565 7040 555 9302 556 9039 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 16-电子信息类(理学工学Ⅲ类) 287 287 568 6379 559 8336 562 7663 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 17-电子信息工程(卓越工程师班) 10 10 573 5410 565 7040 566 6814 上海
2025 本科普通批 上海大学 11902-上海大学 物理和化学 18-通信工程(卓越工程师班) 10 10 564 7257 564 7257 564 7257 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 01-理科试验班 15 15 571 3998 566 4841 568 4499 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 02-电子信息类 15 15 574 3531 564 5180 566 4841 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 03-数学与应用数学 45 45 569 4317 556 6631 560 5899 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 04-智能制造工程 35 35 567 4662 555 6832 557 6458 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 05-电子信息工程 30 30 567 4662 558 6285 561 5731 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 06-通信工程 45 45 566 4841 555 6832 557 6458 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 07-微电子科学与工程 25 25 567 4662 557 6458 560 5899 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 08-人工智能 25 25 568 4499 558 6285 560 5899 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 09-计算机科学与技术 70 70 569 4317 559 6102 562 5544 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 10-智能科学与技术 30 30 560 5899 555 6832 556 6631 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 11-数据科学与大数据技术 30 30 559 6102 555 6832 557 6458 上海
2024 本科普通批 上海大学 11901-上海大学 物理和化学 12-网络空间安全 10 10 558 6285 555 6832 556 6631 上海
2024 本科普通批 上海大学 11902-上海大学 物理和化学 13-电气类 211 211 557 6458 542 9417 546 8561 上海
2024 本科普通批 上海大学 11902-上海大学 物理和化学 14-材料类 113 116 554 7021 538 10306 542 9417 上海
2024 本科普通批 上海大学 11902-上海大学 物理和化学 15-电子信息类 196 196 562 5544 548 8178 552 7412 上海
2024 本科普通批 上海大学 11902-上海大学 物理和化学 16-电子信息工程 10 10 562 5544 555 6832 557 6458 上海
2024 本科普通批 上海大学 11902-上海大学 物理和化学 17-通信工程 10 10 556 6631 554 7021 555 6832 上海
2025 本科普通批 上海对外经贸大学 11301-上经贸大 不限科目 01-国际经济与贸易(国际经济与贸易-数据科学与大数据技术双学士学位) 62 62 553 9779 541 12796 544 12020 上海
2025 本科普通批 上海对外经贸大学 11301-上经贸大 不限科目 02-金融学(金融学-应用统计学双学士学位) 61 61 557 8824 540 13049 544 12020 上海
2025 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 30-应用统计学 75 75 546 11525 528 16393 532 15236 上海
2025 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 31-数据科学与大数据技术 81 81 542 12532 527 16655 529 16109 上海
2025 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 32-人工智能 94 94 534 14696 525 17222 527 16655 上海
2025 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 33-数学与应用数学 10 10 541 12796 528 16393 532 15236 上海
2024 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 35-应用统计学 75 75 540 9848 522 14026 527 12860 上海
2024 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 36-数据科学与大数据技术 81 81 539 10069 522 14026 527 12860 上海
2024 本科普通批 上海对外经贸大学 11305-上经贸大 物理和化学 37-人工智能 94 94 533 11462 519 14753 521 14281 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 13-机械设计制造及其自动化 50 50 533 14978 510 21367 514 20273 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 14-电气工程及其自动化 32 32 529 16109 514 20273 518 19117 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 15-测控技术与仪器 39 39 524 17497 510 21367 512 20807 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 16-机器人工程 25 25 518 19117 513 20546 514 20273 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 17-计算机科学与技术 26 26 532 15236 520 18580 524 17497 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 18-数据科学与大数据技术 24 24 520 18580 513 20546 515 19985 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 19-空间信息与数字技术 36 36 524 17497 510 21367 513 20546 上海
2025 本科普通批 上海海洋大学 11503-上海海大 物理和化学 20-人工智能 38 38 528 16393 514 20273 518 19117 上海
024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 12-计算机类 70 70 534 11234 508 17567 513 16250 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 13-人工智能 10 10 521 14281 511 16761 516 15485 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 14-机器人工程 10 10 519 14753 508 17567 510 17049 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 15-测控技术与仪器 14 14 509 17313 506 18067 507 17795 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 16-机械设计制造及其自动化 50 52 518 15023 504 18539 506 18067 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 17-电气工程及其自动化 10 10 521 14281 509 17313 513 16250 上海
2024 本科普通批 上海海洋大学 11503-上海海大 物理和化学 18-工业工程 16 16 508 17567 504 18539 506 18067 上海
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 11-工科试验班(智慧空中交通管制) 10 10 541 12796 521 18317 530 15808 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 12-工科试验班(民航安全与应急类) 4 5 530 15808 492 26498 504 23089 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 13-工科试验班(航空航天) 16 16 535 14414 504 23089 513 20546 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 14-工科试验班(中欧航空工程师) 2 2 551 10254 546 11525 549 10761 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 15-工科试验班(智能与计算机) 7 7 518 19117 495 25620 502 23673 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 16-工科试验班(电子信息与电气自动化) 12 12 542 12532 498 24798 507 22221 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 17-信息与计算科学 2 2 491 26773 491 26773 491 26773 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 18-应用气象学(航空气象) 4 4 513 20546 497 25079 507 22221 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 19-统计学(民航大数据) 2 2 496 25365 494 25917 495 25620 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 20-材料物理(先进航空材料及智能设计) 2 2 492 26498 491 26773 492 26498 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 21-材料化学(航空材料与器件处理) 1 1 494 25917 494 25917 494 25917 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 22-信息安全 5 5 500 24251 489 27375 493 26212 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 23-土木工程(机场工程) 2 2 490 27085 489 27375 490 27085 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 24-交通工程(机场规划与运行) 4 5 505 22797 489 27375 495 25620 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 25-飞行器质量与可靠性 3 3 508 21944 489 27375 496 25365 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 26-飞行器适航技术 3 3 536 14128 520 18580 526 16940 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 27-无人驾驶航空器系统工程 5 5 518 19117 496 25365 507 22221 天津
2025 本科普通批 中国民航大学 25304-中国民航 物理和化学 28-飞行器运维工程 4 4 494 25917 492 26498 493 26212 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 01-工科试验班 10 10 518 15023 499 19729 508 17567 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 02-工科试验班 4 6 487 22781 469 27273 474 26034 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 03-工科试验班 6 6 494 20956 473 26270 482 24080 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 04-工科试验班 15 16 487 22781 474 26034 479 24795 天津
